gender,int_corr,samerace,age_p,age_s,attrs,sincs,funs,intels,ambs,decision,attrp,sincp,intelp,funp,ambp,sharep,metp
0,0.14,0,27,21,6,8,8,8,7,1,6,9,7,7,6,5,2
0,0.54,0,22,21,6,8,8,8,7,1,7,8,7,8,5,6,1
0,0.29,1,27,24,7,5,10,8,3,0,5,7,8,4,6,3,2
0,0.18,1,22,24,7,5,10,8,3,0,8,5,6,6,9,6,2
0,-0.24,1,27,25,8,9,8,9,8,0,7,9,10,7,8,9,1
0,-0.14,1,22,25,8,9,8,9,8,0,9,7,9,8,9,7,2
0,-0.18,1,27,23,7,8,9,7,8,0,4,10,8,5,8,7,2
0,-0.18,1,22,23,7,8,9,7,8,0,8,7,8,10,7,8,1
0,-0.43,1,27,21,6,3,6,10,8,0,5,8,8,2,2,2,2
0,0,1,22,21,6,3,6,10,8,0,8,6,6,5,5,5,1
0,0.33,0,27,23,5,7,8,9,5,1,6,9,7,6,7,6,2
0,0.37,0,22,23,5,7,8,9,5,1,6,9,9,6,8,2,2
0,0.19,0,27,22,6,6,5,7,7,0,4,8,8,5,7,4,2
0,0.21,0,22,22,6,6,5,7,7,0,6,6,8,4,9,4,1
0,-0.03,1,27,25,7,4,8,8,8,1,5,8,7,4,7,5,2
0,-0.11,1,22,25,7,4,8,8,8,1,8,7,7,9,6,7,2
0,0.19,0,27,26,7,6,10,7,7,1,8,10,9,8,7,6,2
0,0.03,0,22,26,7,6,10,7,7,1,10,10,10,10,10,10,2
1,0.14,0,21,27,8,9,7,8,5,0,6,8,8,8,8,6,2
1,0.29,1,24,27,8,9,7,8,5,0,8,7,6,9,7,4,2
1,0.54,0,21,22,9,9,9,10,9,0,7,8,10,7,7,5,2
1,0.18,1,24,22,9,9,9,10,9,0,7,6,10,6,6,5,2
1,0.16,1,21,22,4,7,8,8,3,1,10,10,10,10,10,10,1
1,0.1,0,24,22,4,7,8,8,3,1,10,10,10,10,10,10,2
1,0.61,0,21,23,9,9,9,9,9,1,7,8,9,8,9,8,2
1,-0.21,1,24,23,9,9,9,9,9,1,9,9,9,9,9,9,2
1,0.21,0,21,24,7,7,7,9,9,1,8,7,9,6,9,7,2
1,0.32,0,24,24,7,7,7,9,9,1,10,10,10,10,7,8,1
1,0.25,0,21,25,6,6,8,8,6,1,7,7,8,8,7,7,2
1,0.73,1,24,25,6,6,8,8,6,1,7,8,7,5,7,7,2
1,0.34,0,21,30,7,7,6,8,4,0,3,6,7,5,8,7,2
1,0.6,1,24,30,7,7,6,8,4,0,5,3,4,3,5,3,2
1,0.5,0,21,27,6,8,6,8,9,0,6,7,5,6,8,6,2
1,0.07,1,24,27,6,8,6,8,9,1,7,7,7,7,7,5,2
1,0.28,0,21,28,10,6,10,10,10,1,7,7,8,8,8,9,2
1,0.11,1,24,28,10,6,10,10,10,1,8,6,9,9,8,7,2
1,-0.36,0,21,24,7,7,10,10,10,0,6,6,6,6,6,6,2
1,0.39,1,24,24,7,7,10,10,10,0,6,5,7,7,9,7,2
0,-0.23,1,25,21,5,9,7,9,10,0,6,8,7,9,5,7,1
0,-0.3,1,30,21,5,9,7,9,10,0,5,8,7,5,9,5,2
0,0.29,0,25,27,7,8,7,8,7,0,5,7,7,6,7,5,2
0,-0.23,0,30,27,7,8,7,8,7,0,4,7,6,6,7,2,2
0,0.22,1,25,21,5,8,6,7,8,1,5,7,6,6,6,7,2
0,0.06,1,30,21,5,8,6,7,8,0,5,7,7,6,6,7,2
0,-0.12,0,25,25,7,9,7,8,6,0,7,8,9,6,8,5,2
0,0.09,0,30,25,7,9,7,8,6,0,5,8,8,6,8,5,2
0,-0.38,0,25,23,7,8,8,8,8,0,2,5,5,3,5,2,2
0,-0.05,0,30,23,7,8,8,8,8,0,2,5,5,3,5,2,2
0,0.19,0,25,23,7,8,9,8,8,0,3,6,6,5,6,5,2
0,-0.44,0,30,23,7,8,9,8,8,0,8,9,8,5,9,5,2
0,-0.19,0,25,24,8,8,9,8,9,0,4,6,6,6,6,4,2
0,-0.43,0,30,24,8,8,9,8,9,0,3,6,6,3,6,2,2
0,-0.29,0,25,30,6,8,6,8,8,1,6,8,7,10,7,4,2
0,0.41,0,30,30,6,8,6,8,8,0,2,6,7,4,6,2,2
0,-0.25,0,25,25,8,9,9,9,7,1,6,8,9,7,7,8,2
0,-0.27,0,30,25,8,9,9,9,7,0,5,9,8,6,7,6,2
0,-0.04,0,25,26,8,7,8,8,6,0,2,5,2,3,1,3,2
0,-0.39,0,30,26,8,7,8,8,6,0,1,2,2,1,8,2,2
0,0.13,0,25,27,7,8,7,9,5,0,2,4,5,4,4,3,2
0,-0.14,0,30,27,7,8,7,9,5,0,2,5,6,3,4,3,2
0,-0.15,0,25,23,8,2,7,8,8,0,2,8,10,3,10,3,2
0,-0.19,0,30,23,8,2,7,8,8,0,1,1,10,1,10,1,2
0,0.07,0,25,24,6,9,6,8,7,1,6,7,9,9,9,8,2
1,-0.23,1,21,25,3,10,8,9,5,0,3,10,10,6,4,7,2
1,0.29,0,27,25,3,10,8,9,5,0,4,10,8,8,6,4,2
1,0.46,1,21,23,6,9,6,8,4,0,3,10,9,5,9,2,2
1,0.44,0,27,23,6,9,6,8,4,0,3,6,8,5,5,1,2
1,0.43,0,21,24,3,8,3,7,2,0,4,5,6,4,6,2,2
1,-0.04,0,27,24,3,8,3,7,2,0,4,5,5,3,5,1,2
1,-0.4,0,21,24,7,9,8,9,9,1,6,7,8,6,7,7,2
1,-0.21,0,27,24,7,9,8,9,9,1,6,7,6,6,8,5,2
1,0.01,0,21,28,7,8,6,8,7,1,7,8,8,7,9,6,2
1,-0.02,0,27,28,7,8,6,8,7,1,7,7,7,5,6,5,2
1,0.22,0,21,26,7,8,5,7,7,0,6,7,10,8,9,8,2
1,-0.33,0,27,26,7,8,5,7,7,0,5,8,5,5,6,5,2
1,-0.06,0,21,30,8,7,9,9,3,1,9,5,6,5,5,7,2
1,-0.08,0,21,22,7,9,6,7,6,0,3,8,5,5,8,3,2
1,0.28,1,21,25,7,10,10,10,8,0,6,7,8,4,6,4,2
1,0.44,0,21,23,6,8,2,10,2,0,2,8,8,3,2,2,2
1,-0.52,0,27,23,6,8,2,10,2,0,2,2,3,2,2,1,2
1,0.62,0,21,21,5,8,6,8,7,0,6,6,8,6,7,6,2
1,0.03,0,27,21,5,8,6,8,7,0,4,6,7,6,5,5,2
1,-0.08,0,21,28,8,9,8,8,8,0,6,8,8,7,7,6,2
1,0.5,0,27,28,8,9,8,8,8,0,6,8,8,7,8,6,2
1,-0.2,0,21,28,8,9,8,8,8,0,5,7,7,7,7,5,2
1,0.33,0,27,28,8,9,8,8,8,0,4,7,7,6,6,5,2
1,0.39,0,21,23,6,10,10,9,10,0,5,8,10,7,9,5,2
1,0.16,1,27,23,6,10,10,9,10,0,5,8,9,7,10,8,2
0,0.26,0,29,23,10,10,9,8,5,0,2,6,2,3,2,3,2
0,-0.15,0,22,23,10,10,9,8,5,0,3,9,9,7,9,7,2
0,0.23,0,29,22,6,10,10,9,10,0,8,7,7,7,7,7,2
0,-0.01,0,22,22,6,10,10,9,10,0,8,8,8,7,8,1,2
0,0.39,0,29,28,7,10,7,10,7,0,5,8,7,8,8,3,2
0,-0.04,0,22,28,7,10,7,10,7,0,6,8,7,8,7,3,2
0,0.27,1,29,26,9,9,9,9,9,0,6,7,7,7,8,6,2
0,0.26,0,22,26,9,9,9,9,9,1,8,9,9,9,8,8,1
0,0.17,0,29,24,6,8,9,8,7,1,2,7,7,5,4,2,2
0,0.03,0,22,24,6,8,9,8,7,1,7,7,7,5,5,5,1
0,-0.07,0,29,27,8,8,6,9,9,1,7,7,8,6,8,5,2
0,0.39,0,22,27,8,8,6,9,9,1,7,7,7,6,5,5,2
0,0.48,0,29,23,7,9,9,8,9,0,6,7,8,7,8,6,2
0,-0.43,1,22,23,7,9,9,8,9,0,6,7,7,7,7,6,2
1,0.26,0,23,29,6,7,7,8,8,1,7,6,6,7,9,5,2
1,0.23,0,22,29,6,7,7,8,8,0,4,7,7,6,6,5,2
1,-0.15,0,23,22,5,7,6,7,7,1,8,8,7,7,7,5,2
1,-0.01,0,22,22,5,7,6,7,7,0,5,10,7,5,4,1,2
1,0.44,0,23,27,6,8,7,8,8,0,6,4,5,6,4,3,2
1,0.68,0,22,27,6,8,7,8,8,0,5,6,6,5,5,4,2
1,0.07,1,23,26,8,6,8,9,6,1,8,6,7,7,7,5,2
1,0.02,1,22,26,8,6,8,9,6,0,5,8,7,5,5,4,2
1,-0.37,1,23,21,6,8,8,10,10,1,9,8,8,10,9,6,2
1,-0.34,1,22,21,6,8,8,10,10,1,6,9,8,6,8,6,2
1,0.65,1,23,22,7,9,8,8,8,1,7,8,7,5,7,5,2
1,0.44,1,22,22,7,9,8,8,8,0,5,8,8,7,7,7,2
1,-0.31,1,23,22,7,7,8,7,8,0,7,7,6,5,4,5,2
1,-0.58,1,22,22,7,7,8,7,8,0,6,8,6,6,6,5,2
1,-0.06,1,23,25,7,9,9,8,7,0,8,10,8,8,10,5,2
1,0.34,1,22,25,7,9,9,8,7,0,7,6,6,8,6,5,2
1,0.37,0,23,24,7,7,8,8,8,1,8,6,6,7,7,5,2
1,0.23,0,22,24,7,7,8,8,8,1,6,8,7,6,5,5,2
0,0.56,0,28,22,6,8,8,8,8,1,4,7,8,10,7,7,2
0,-0.2,1,26,22,6,8,8,8,8,0,4,6,6,6,5,7,2
0,0.69,0,28,23,3,10,3,8,8,0,4,2,9,2,10,2,2
0,-0.16,0,26,23,3,10,3,8,8,0,2,4,9,4,9,6,2
0,0.27,1,28,26,7,9,8,7,7,0,5,6,7,6,9,5,2
0,-0.04,0,26,26,7,9,8,7,7,0,5,6,6,5,5,4,2
0,0.31,0,26,27,8,8,8,8,8,0,7,9,9,8,9,8,2
0,0.6,0,28,28,8,7,8,7,7,0,2,10,10,8,10,6,2
0,-0.21,1,26,28,8,7,8,7,7,0,3,7,7,5,7,6,2
0,0.29,0,28,25,8,9,8,8,7,1,7,7,10,10,9,8,2
0,-0.25,0,26,25,8,9,8,8,7,0,4,8,7,5,7,4,2
0,0.54,0,28,35,5,9,9,5,5,0,4,6,7,6,9,8,2
0,0.03,0,26,35,5,9,9,5,5,0,5,6,8,7,8,8,2
0,0.65,0,28,32,7,9,7,8,5,0,1,5,0,10,0,3,2
0,-0.03,0,26,32,7,9,7,8,5,0,5,8,7,5,5,4,2
0,0.3,0,28,30,7,9,9,8,9,0,4,1,4,1,10,1,2
0,-0.37,1,26,30,7,9,9,8,9,0,5,6,7,5,6,2,2
0,0.3,1,26,22,7,9,9,9,4,0,6,8,6,7,7,6,2
0,0.69,0,28,23,9,9,9,9,9,0,2,3,2,1,1,1,2
0,0.21,1,26,23,9,9,9,9,9,0,2,2,2,2,2,1,2
0,0.73,0,28,23,9,9,9,9,9,0,1,2,10,1,10,4,2
0,0.3,1,26,23,9,9,9,9,9,0,2,10,10,2,10,5,2
0,0.18,0,28,27,8,9,8,9,10,0,6,9,8,5,7,6,2
0,-0.31,1,26,27,8,9,8,9,10,0,6,9,8,7,7,6,2
0,0.37,1,28,23,5,8,5,7,5,0,0,5,5,0,9,0,2
0,0.32,0,26,23,5,8,5,7,5,1,8,8,7,8,6,4,2
0,0.64,0,28,29,9,10,9,9,9,0,4,3,9,3,8,5,2
0,-0.23,1,26,29,9,10,9,9,9,0,4,8,9,4,8,3,2
0,0.27,0,28,29,8,8,8,8,7,0,6,6,7,7,8,6,2
0,-0.57,1,26,29,8,8,8,8,7,1,7,8,7,7,7,7,2
1,0.21,0,34,28,6,9,9,9,7,1,6,6,6,7,7,6,2
1,0.56,0,22,28,6,9,9,9,7,1,8,8,7,7,7,5,2
1,-0.18,1,34,26,7,9,8,10,7,0,6,6,7,8,4,6,2
1,-0.2,1,22,26,7,9,8,10,7,0,4,6,5,6,5,5,2
1,0.08,1,34,29,7,5,7,6,6,0,4,6,7,7,7,7,2
1,-0.05,1,22,29,7,5,7,6,6,1,6,9,9,9,6,6,2
1,0.71,1,34,28,10,10,10,10,8,0,4,7,8,5,7,3,2
1,0.55,1,22,28,10,10,10,10,8,1,8,8,9,8,8,9,2
1,0.51,0,34,30,7,8,8,9,6,0,4,7,8,7,7,4,2
1,0.45,0,22,30,7,8,8,9,6,0,8,7,6,5,5,4,2
1,0.02,1,34,32,8,5,7,10,9,1,5,7,8,10,6,9,2
1,0,1,22,32,8,5,7,10,9,0,4,5,6,6,6,6,2
1,-0.05,1,34,26,8,8,8,9,9,0,6,8,9,7,7,7,2
1,0.15,1,22,26,8,8,8,9,9,0,6,7,7,7,7,5,2
1,0.19,1,34,27,9,8,7,9,9,0,6,8,7,6,6,5,2
1,0.63,1,22,27,9,8,7,9,9,0,6,6,6,6,6,7,2
1,0.02,0,34,25,8,7,9,8,6,1,7,7,8,9,8,7,2
1,-0.28,0,22,25,8,7,9,8,6,1,8,7,8,8,7,7,2
1,0.36,1,34,21,7,9,9,9,6,1,9,9,9,9,9,9,2
1,0.63,1,22,21,7,9,9,9,6,1,6,8,8,8,9,7,2
1,0.32,1,34,24,4,8,3,7,2,0,7,7,8,7,5,8,2
1,0.41,1,22,24,4,8,3,7,2,0,9,6,7,6,5,3,2
1,0.63,0,34,25,6,9,8,9,8,1,8,10,8,8,8,7,2
1,0.56,0,22,25,6,9,8,9,8,1,7,10,8,7,5,4,2
1,0.53,1,34,28,7,9,8,8,7,1,6,6,8,8,7,3,2
1,0.76,1,22,28,7,9,8,8,7,0,6,7,8,6,9,8,2
1,0.43,0,34,27,5,8,5,8,5,0,3,4,8,8,6,4,2
1,0.29,0,22,27,5,8,5,8,5,0,6,7,7,5,6,5,2
0,-0.29,1,22,20,9,10,9,9,9,1,7,7,7,9,7,8,2
0,-0.37,0,18,20,9,10,9,9,9,0,4,8,7,4,9,3,2
0,0.08,0,22,21,8,10,10,8,9,1,8,10,9,10,5,5,1
0,-0.22,0,18,21,8,10,10,8,9,0,5,9,6,5,5,2,2
0,0.48,0,22,20,7,9,8,6,7,1,7,6,6,7,4,4,2
0,0.13,0,18,20,7,9,8,6,7,1,8,7,6,6,5,4,2
0,-0.05,0,22,21,8,7,8,9,8,0,10,10,10,10,10,10,1
0,0.07,0,18,21,8,7,8,9,8,0,6,10,10,7,6,5,2
0,0.08,0,22,21,8,9,8,9,9,1,10,10,10,10,10,10,1
0,-0.41,0,18,21,8,9,8,9,9,1,7,10,8,8,8,6,2
0,0.12,0,22,21,8,7,8,8,8,1,10,10,10,10,10,10,1
0,0.4,0,22,20,6,8,8,8,9,1,7,8,7,8,8,5,2
0,-0.31,0,18,20,6,8,8,8,9,0,5,8,6,2,2,2,2
0,0.04,0,22,21,2,9,9,7,9,1,8,10,10,7,7,8,2
0,-0.28,0,18,21,2,9,9,7,9,1,9,10,7,5,10,9,2
1,-0.29,1,20,22,7,10,8,8,8,1,9,9,9,9,9,9,2
1,0.08,0,21,22,7,10,8,8,8,0,10,10,10,10,10,10,1
1,-0.37,0,20,18,8,7,7,7,8,1,9,7,7,6,4,5,2
1,-0.22,0,21,18,8,7,7,7,8,0,6,5,5,4,4,5,2
1,0.26,0,20,22,8,8,10,10,10,1,6,7,7,4,4,5,2
1,0.85,0,21,22,8,8,10,10,10,1,7,6,7,5,5,8,2
1,0.34,0,20,21,9,6,10,9,10,1,9,8,9,9,8,7,2
1,0.76,1,21,21,9,6,10,9,10,1,8,8,7,7,7,6,1
1,0.3,0,20,22,9,10,9,9,9,1,7,8,7,6,6,6,2
1,0.44,1,21,22,9,10,9,9,9,1,6,8,9,9,8,6,2
1,-0.24,0,20,22,8,8,9,9,8,1,10,7,9,10,8,10,1
1,-0.28,1,21,22,8,8,9,9,8,0,5,5,5,5,5,5,2
1,0.44,0,20,21,8,7,7,8,7,1,10,9,8,9,9,7,2
1,-0.09,1,21,21,8,7,7,8,7,1,7,9,9,8,8,8,2
1,0.19,0,20,20,5,6,6,6,6,0,5,5,5,2,1,2,2
1,-0.11,0,21,20,5,6,6,6,6,0,3,3,5,6,1,1,2
1,0.35,0,20,19,4,6,4,6,6,0,5,5,5,5,5,5,2
1,0.45,0,21,19,4,6,4,6,6,0,5,5,5,5,5,5,2
0,0.16,0,26,27,8,10,10,9,10,0,7,9,7,9,6,9,1
0,0.34,1,32,27,8,10,10,9,10,0,8,8,8,8,8,8,2
0,-0.15,1,26,24,6,8,7,8,7,0,7,7,7,8,6,8,2
0,-0.51,0,32,24,6,8,7,8,7,0,7,6,8,7,8,6,2
0,-0.1,0,26,23,7,8,8,8,8,1,8,9,7,9,10,8,2
0,-0.06,1,32,23,7,8,8,8,8,1,7,8,9,8,7,8,2
1,0.16,0,27,26,7,9,8,9,8,1,8,8,9,8,9,7,1
1,-0.15,1,24,26,7,9,8,9,8,0,6,10,10,6,7,5,2
1,0.34,1,27,32,8,8,8,8,8,1,8,7,4,6,6,4,2
1,-0.51,0,24,32,8,8,8,8,8,0,3,8,8,9,8,1,2
1,0.13,1,27,29,7,7,9,8,8,1,7,7,7,7,7,7,1
1,-0.35,0,24,29,7,7,9,8,8,0,5,9,8,6,8,6,2
1,0.05,0,27,28,7,9,8,8,6,1,8,7,7,7,7,8,1
1,0.19,0,24,28,7,9,8,8,6,1,6,10,9,9,6,5,2
0,0.35,1,23,24,9,9,9,10,7,0,4,5,6,4,6,4,0
0,-0.57,1,28,24,9,9,9,10,7,1,5,10,9,8,7,5,0
0,-0.4,1,23,23,7,8,8,9,9,0,4,6,7,4,7,4,0
0,0.32,1,28,23,7,8,8,9,9,0,4,7,8,5,7,4,0
0,0.42,1,23,24,5,5,7,9,7,0,7,10,10,7,9,8,0
0,0.68,1,28,24,5,5,7,9,7,0,7,10,10,10,10,8,0
0,-0.15,0,23,26,8,7,8,9,7,0,5,5,8,5,5,5,0
0,0.55,0,28,26,8,7,8,9,7,0,5,6,8,5,5,4,0
0,0.11,0,23,27,8,9,9,9,8,0,4,8,8,2,6,1,0
0,0.72,0,28,27,8,9,9,9,8,0,3,8,8,2,7,1,0
0,0.65,1,28,28,8,8,8,8,8,0,4,7,8,4,6,7,0
0,0.24,1,23,28,9,10,10,10,8,0,4,5,5,1,3,1,0
0,0.6,1,28,28,9,10,10,10,8,0,3,7,7,4,6,5,0
0,0.51,0,23,27,7,9,8,10,8,0,6,7,7,6,8,6,0
0,-0.26,1,23,27,8,9,9,9,9,0,5,8,10,5,8,7,0
0,0.46,1,28,27,8,9,9,9,9,0,6,8,9,8,9,5,0
0,0.24,1,23,27,7,10,6,8,9,0,2,6,7,2,7,2,0
0,0.59,1,28,27,7,10,6,8,9,0,1,4,6,3,6,2,0
0,0.49,0,23,30,8,10,10,9,10,0,4,7,10,3,10,3,0
0,0.4,0,28,30,8,10,10,9,10,0,3,10,10,6,10,3,0
0,-0.14,0,23,28,7,8,9,8,9,0,2,3,3,2,3,1,0
0,0.12,0,28,28,7,8,9,8,9,0,2,6,6,6,5,4,0
1,0.35,1,24,23,7,9,7,9,6,1,10,8,8,7,7,5,0
1,0.34,1,33,23,7,9,7,9,6,1,6,8,9,6,8,7,0
1,0.55,1,33,28,5,9,8,9,7,0,5,7,7,5,4,4,0
1,0.01,0,33,29,8,8,9,8,9,0,4,9,7,5,8,3,0
1,-0.01,1,24,22,8,7,9,9,7,0,8,7,8,7,6,4,0
1,-0.15,1,33,22,8,7,9,9,7,0,5,10,8,5,10,6,0
1,-0.24,0,24,27,7,8,7,9,8,0,6,7,7,6,6,5,1
1,0.58,0,33,27,7,8,7,9,8,0,3,6,6,2,7,2,0
1,-0.43,1,24,26,7,8,8,9,7,0,7,7,7,5,6,5,0
1,0.61,1,33,26,7,8,8,9,7,0,5,8,7,6,6,4,1
1,-0.4,1,24,30,8,6,7,9,2,0,8,8,9,7,8,6,0
1,0.54,1,33,30,8,6,7,9,2,0,6,9,9,6,8,4,0
1,-0.63,1,24,23,6,7,7,7,5,1,7,6,7,6,4,4,0
1,0.13,1,33,23,6,7,7,7,5,0,3,7,6,4,5,2,0
1,-0.5,0,24,23,5,5,5,5,5,1,8,8,7,7,7,8,0
1,0.33,0,33,23,5,5,5,5,5,0,5,5,5,6,6,6,0
1,-0.59,1,24,28,7,9,7,8,7,1,8,8,9,8,7,8,0
1,0.27,1,33,28,7,9,7,8,7,0,7,9,9,8,8,8,0
1,-0.27,0,24,28,7,8,6,9,8,1,7,7,7,7,5,7,0
1,0.55,0,33,28,7,8,6,9,8,0,5,7,7,5,7,3,0
1,-0.36,1,24,29,10,10,10,10,10,1,7,8,9,9,8,7,0
1,0.34,1,33,29,10,10,10,10,10,0,5,8,9,6,7,9,0
1,0.04,1,24,27,5,6,9,8,9,1,8,7,6,7,7,6,0
1,-0.21,1,24,22,7,9,9,9,9,1,8,7,7,7,5,5,0
1,-0.03,1,33,22,7,9,9,9,9,0,4,6,5,4,5,5,0
0,0.34,0,34,29,9,10,8,8,6,1,5,6,6,6,6,6,2
0,0.41,0,34,23,7,10,8,8,9,1,7,7,7,7,7,7,1
0,0.56,0,25,23,7,10,8,8,9,0,2,7,7,5,7,2,2
0,0.48,0,34,28,6,9,7,8,6,1,7,7,8,6,7,5,2
0,0.16,1,25,28,6,9,7,8,6,0,6,5,6,6,7,4,2
0,0.07,1,34,22,9,9,8,9,9,1,5,7,7,5,6,5,2
0,0.31,0,25,22,9,9,8,9,9,0,2,3,3,3,5,2,2
0,0.38,0,34,30,8,10,6,8,10,0,3,7,6,4,6,7,2
0,0.41,0,25,30,8,10,6,8,10,0,4,6,6,5,6,6,2
0,0.24,0,34,24,9,9,10,9,9,1,7,8,7,8,7,6,2
0,0.16,1,25,24,9,9,10,9,9,0,4,4,4,3,3,3,2
0,0.43,0,34,22,9,9,9,9,9,1,8,9,8,9,10,7,2
0,0.62,0,25,22,9,9,9,9,9,1,6,8,9,6,10,6,2
0,-0.34,0,34,22,8,8,8,8,10,1,7,8,8,8,9,8,2
0,0.42,0,25,22,8,8,8,8,10,0,7,7,8,9,8,8,2
0,0.28,1,34,24,9,7,9,9,7,1,8,9,9,7,6,9,2
0,-0.01,0,25,24,9,7,9,9,7,0,7,6,7,6,6,7,2
1,0.34,0,29,34,6,10,7,9,5,1,8,10,10,8,6,7,2
1,0.41,0,23,34,6,10,7,9,5,0,7,10,10,7,10,8,1
1,0.48,1,29,25,10,10,7,8,8,0,6,6,7,6,5,8,2
1,0.56,0,23,25,10,10,7,8,8,0,3,8,8,4,7,6,1
1,0.48,0,23,24,4,8,4,7,6,1,7,6,6,6,5,7,2
1,0.51,0,29,21,7,5,7,10,10,0,4,5,5,5,5,5,2
